filter_id,variant,expression,layman_explanation,stat,source
142F213,tens,(winner <25 and sum(1 for d in combo_digits if d in seed_digits) >=3),Eliminate if (variant_name equals 'tens') AND (winner value is <25 AND sum(1 for d in combo_digits if d in seed value_digits) is ≥3),306/311,keeper
14F349,tens,(sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<11 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits)is ≥2 AND winner valueis <11 AND winner value_structure equals 5 AND winner value_structure equals 5),5/311,keeper
15F247,tens,(winner<12 or winner>20),Eliminate if (variant_name equals 'tens') AND (winner valueis <12 OR winner valueis >20),86/311,keeper
16F341,tens,(sum(1 for d in combo_digits if d in seed_digits)>=3 and winner<14 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits)is ≥3 AND winner valueis <14 AND winner value_structure equals 5 AND winner value_structure equals 5),9/311,keeper
16F534,tens,((0 <= seed <= 15) and (34 <= winner <= 45)),Eliminate if (variant_name equals 'tens') AND ((0 is ≤ seed value is ≤ 15) AND (34 is ≤ winner value is ≤ 45)),0/311,keeper
17F325,tens,(all(d%2 for d in combo_digits)),Eliminate if (variant_name equals 'tens') AND (all(d%2 for d in combo_digits)),0/311,keeper
18F258,tens,(not (12<=winner<=20)),Eliminate if (variant_name equals 'tens') AND (not (12is ≤winner valueis ≤20)),86/311,keeper
18F334,tens,(winner<12 or winner>20),Eliminate if (variant_name equals 'tens') AND (winner valueis <12 OR winner valueis >20),86/311,keeper
18F348,tens,(sum(1 for d in combo_digits if d in seed_digits)>=2 and winner<12 and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits)is ≥2 AND winner valueis <12 AND winner value_structure equals 5 AND winner value_structure equals 5),6/311,keeper
18F533,tens,((34 <= seed <= 45) and (34 <= winner <= 45)),Eliminate if (variant_name equals 'tens') AND ((34 is ≤ seed value is ≤ 45) AND (34 is ≤ winner value is ≤ 45)),0/311,keeper
18F537,tens,((34 <= seed <= 45) and (0 <= winner <= 15)),Eliminate if (variant_name equals 'tens') AND ((34 is ≤ seed value is ≤ 45) AND (0 is ≤ winner value is ≤ 15)),0/311,keeper
18F542,tens,(winner_structure == 3),Eliminate if (variant_name equals 'tens') AND (winner value_structure equals 3),0/311,keeper
19F352,tens,(sum(1 for d in combo_digits if d in seed_digits)>=1 and winner<11and winner_structure == 5 and winner_structure == 5),Eliminate if (variant_name equals 'tens') AND (sum(1 for d in combo_digits if d in seed value_digits)is ≥1 AND winner valueis <11and winner value_structure equals 5 AND winner value_structure equals 5),5/311,keeper
1F192,tens,(winner <8 or winner >29),Eliminate if (variant_name equals 'tens') AND (winner value is <8 OR winner value is >29),11/311,keeper
1F193,tens,(winner <10 or winner >30),Eliminate if (variant_name equals 'tens') AND (winner value is <10 OR winner value is >30),26/311,keeper
1F206,tens,(winner <8 or winner >29),Eliminate if (variant_name equals 'tens') AND (winner value is <8 OR winner value is >29),11/311,keeper
1F208,tens,(winner <10 or winner >30),Eliminate if (variant_name equals 'tens') AND (winner value is <10 OR winner value is >30),26/311,keeper
1F229,tens,(winner==38 and seed<30),Eliminate if (variant_name equals 'tens') AND (winner valueequals38 AND seed valueis <30),0/311,keeper
1F241,tens,(winner==4),Eliminate if (variant_name equals 'tens') AND (winner valueequals4),0/311,keeper
